0.421325
0.421325
0(169353)::	0:0.633360	1:0.633360	2:0.633360	
1(462465)::	2:0.315143	1:0.315143	0:0.315143	
2(159053)::	2:0.346558	1:0.346558	0:0.346558	
3(426115)::	2:0.157901	1:0.157901	0:0.157901	
4(432920)::	2:0.190371	1:0.190371	0:0.190371	
5(342317)::	2:0.386324	1:0.386324	0:0.386324	
6(7548)::	0:0.480063	1:0.480063	2:0.480063	
7(380326)::	0:2.457323	1:2.457323	2:2.457323	
8(249760)::	2:0.641273	1:0.641273	0:0.641273	
9(389529)::	2:0.176081	1:0.176081	0:0.176081	
10(135867)::	0:1.450854	1:1.450854	2:1.450854	
11(153075)::	0:0.779156	1:0.779156	2:0.779156	
12(518156)::	2:0.157772	1:0.157772	0:0.157772	
13(155151)::	2:0.157784	1:0.157784	0:0.157784	
14(88501)::	2:0.080598	1:0.080598	0:0.080598	
15(433349)::	0:0.061637	1:0.061637	2:0.061637	
16(41377)::	0:1.318915	1:1.318915	2:1.318915	
17(76728)::	2:0.287462	1:0.287462	0:0.287462	
18(70108)::	2:0.254196	1:0.254196	0:0.254196	
19(507586)::	0:0.022841	1:0.022841	2:0.022841	
20(16548)::	
21(269124)::	0:0.034089	1:0.034089	2:0.034089	
22(392651)::	2:0.163340	1:0.163340	0:0.163340	
23(311490)::	0:0.163359	1:0.163359	2:0.163359	
24(80392)::	0:0.168618	1:0.168618	2:0.168618	
25(161949)::	2:0.122481	1:0.122481	0:0.122481	
26(225457)::	2:0.122504	1:0.122504	0:0.122504	
27(347739)::	0:0.326381	1:0.326381	2:0.326381	
28(181064)::	0:0.122492	1:0.122492	2:0.122492	
29(544323)::	2:0.120028	1:0.120028	0:0.120028	
30(53293)::	0:0.149644	1:0.149644	2:0.149644	
31(214046)::	2:0.122520	1:0.122520	0:0.122520	
32(185580)::	2:0.119887	1:0.119887	0:0.119887	
33(67037)::	
34(101259)::	
35(205232)::	2:0.002431	1:0.002431	0:0.002431	
36(431943)::	2:0.102011	1:0.102011	0:0.102011	
37(32686)::	2:0.110399	1:0.110399	0:0.110399	
38(380832)::	2:0.026681	1:0.026681	0:0.026681	
