0.602339
0.602339
0(510314)::	2:0.064965	1:0.064965	0:0.064965	
1(369190)::	0:6.406540	1:6.406540	2:6.406540	
2(130418)::	0:9.419838	1:9.419838	2:9.419838	
3(462789)::	0:2.994554	1:2.994554	2:2.994554	
4(134358)::	0:12.189411	1:12.189411	2:12.189411	
5(11153)::	0:1.869929	1:1.869929	2:1.869929	
6(515064)::	2:0.018108	1:0.018108	0:0.018108	
7(190224)::	2:0.073843	1:0.073843	0:0.073843	
8(188744)::	2:0.018179	1:0.018179	0:0.018179	
9(69843)::	2:0.022683	1:0.022683	0:0.022683	
10(259203)::	0:11.457240	1:11.457240	2:11.457240	
11(242112)::	0:0.084146	1:0.084146	2:0.084146	
12(437448)::	2:0.056933	1:0.056933	0:0.056933	
13(183837)::	2:0.060303	1:0.060303	0:0.060303	
14(428012)::	2:0.052064	1:0.052064	0:0.052064	
15(97257)::	0:0.049691	1:0.049691	2:0.049691	
16(139618)::	0:0.076640	1:0.076640	2:0.076640	
17(296041)::	0:0.120970	1:0.120970	2:0.120970	
18(49254)::	2:0.120930	1:0.120930	0:0.120930	
19(369065)::	2:0.120952	1:0.120952	0:0.120952	
20(467304)::	0:0.006530	1:0.006530	2:0.006530	
