0.589015
0.589015
0(134714)::	2:0.390958	1:0.390958	0:0.390958	
1(406080)::	0:0.324049	1:0.324049	2:0.324049	
2(184634)::	0:0.137782	1:0.137782	2:0.137782	
3(280696)::	0:0.268143	1:0.268143	2:0.268143	
4(15433)::	0:0.885601	1:0.885601	2:0.885601	
5(36150)::	0:3.448344	1:3.448344	2:3.448344	
6(247771)::	2:0.241448	1:0.241448	0:0.241448	
7(482044)::	2:0.457789	1:0.457789	0:0.457789	
8(263773)::	2:0.456891	1:0.456891	0:0.456891	
9(1163)::	2:0.326294	1:0.326294	0:0.326294	
10(272470)::	2:0.217101	1:0.217101	0:0.217101	
11(345468)::	2:0.217195	1:0.217195	0:0.217195	
12(177961)::	2:0.216793	1:0.216793	0:0.216793	
13(8935)::	
