0.306641
0.306641
0(416314)::	2:0.122207	1:0.122207	0:0.122207	
1(396422)::	0:3.891293	1:3.891293	2:3.891293	
2(293177)::	0:2.033828	1:2.033828	2:2.033828	
3(30510)::	2:0.517363	1:0.517363	0:0.517363	
4(147416)::	0:3.140291	1:3.140291	2:3.140291	
5(508858)::	0:9.733345	1:9.733345	2:9.733345	
6(285633)::	2:0.122220	1:0.122220	0:0.122220	
7(507893)::	0:0.075363	1:0.075363	2:0.075363	
8(223527)::	0:0.934714	1:0.934714	2:0.934714	
9(512164)::	0:0.015261	1:0.015261	2:0.015261	
10(67500)::	2:0.106581	1:0.106581	0:0.106581	
11(382755)::	0:0.915702	1:0.915702	2:0.915702	
12(222499)::	0:1.062555	1:1.062555	2:1.062555	
13(365385)::	0:0.007790	1:0.007790	2:0.007790	
14(17611)::	2:0.122183	1:0.122183	0:0.122183	
15(516758)::	2:0.015261	1:0.015261	0:0.015261	
16(4761)::	0:0.016180	1:0.016180	2:0.016180	
17(493277)::	0:0.017101	1:0.017101	2:0.017101	
18(91060)::	0:0.015258	1:0.015258	2:0.015258	
19(189757)::	2:0.079625	1:0.079625	0:0.079625	
20(257348)::	0:0.047142	1:0.047142	2:0.047142	
21(218045)::	2:0.156958	1:0.156958	0:0.156958	
22(326014)::	2:0.079623	1:0.079623	0:0.079623	
23(459719)::	0:0.019032	1:0.019032	2:0.019032	
24(315995)::	2:0.122182	1:0.122182	0:0.122182	
25(420183)::	2:0.111164	1:0.111164	0:0.111164	
26(474564)::	0:0.108551	1:0.108551	2:0.108551	
27(373465)::	2:0.061771	1:0.061771	0:0.061771	
28(401252)::	0:0.019030	1:0.019030	2:0.019030	
29(183542)::	2:0.039013	1:0.039013	0:0.039013	
30(322489)::	0:0.110117	1:0.110117	2:0.110117	
31(70437)::	
32(405980)::	2:0.079625	1:0.079625	0:0.079625	
33(80512)::	2:0.122210	1:0.122210	0:0.122210	
34(209188)::	2:0.118562	1:0.118562	0:0.118562	
35(26459)::	2:0.091829	1:0.091829	0:0.091829	
36(58731)::	0:0.007958	1:0.007958	2:0.007958	
37(93043)::	0:0.007961	1:0.007961	2:0.007961	
38(73723)::	0:0.039017	1:0.039017	2:0.039017	
39(123975)::	2:0.039013	1:0.039013	0:0.039013	
40(104658)::	0:0.118657	1:0.118657	2:0.118657	
41(419480)::	2:0.114450	1:0.114450	0:0.114450	
42(128290)::	0:0.075354	1:0.075354	2:0.075354	
43(299108)::	2:0.113803	1:0.113803	0:0.113803	
44(311743)::	0:0.023601	1:0.023601	2:0.023601	
45(521365)::	2:0.114448	1:0.114448	0:0.114448	
46(330500)::	0:0.075350	1:0.075350	2:0.075350	
47(70124)::	2:0.074225	1:0.074225	0:0.074225	
48(168344)::	0:0.033976	1:0.033976	2:0.033976	
49(180256)::	0:0.115355	1:0.115355	2:0.115355	
50(224984)::	0:0.010808	1:0.010808	2:0.010808	
51(215404)::	0:0.015261	1:0.015261	2:0.015261	
52(354094)::	2:0.031976	1:0.031976	0:0.031976	
53(536770)::	
54(387277)::	
55(105707)::	2:0.122211	1:0.122211	0:0.122211	
56(27966)::	2:0.118549	1:0.118549	0:0.118549	
57(17715)::	2:0.106572	1:0.106572	0:0.106572	
58(327094)::	2:0.079625	1:0.079625	0:0.079625	
59(476367)::	2:0.118549	1:0.118549	0:0.118549	
60(21518)::	2:0.106579	1:0.106579	0:0.106579	
61(217344)::	0:0.122180	1:0.122180	2:0.122180	
62(412581)::	0:0.122181	1:0.122181	2:0.122181	
63(368934)::	2:0.091873	1:0.091873	0:0.091873	
64(298784)::	2:0.122214	1:0.122214	0:0.122214	
65(206977)::	0:0.015258	1:0.015258	2:0.015258	
66(267610)::	2:0.007676	1:0.007676	0:0.007676	
67(156917)::	2:0.007680	1:0.007680	0:0.007680	
68(479093)::	0:0.016180	1:0.016180	2:0.016180	
69(531948)::	0:0.010808	1:0.010808	2:0.010808	
70(76250)::	0:0.015258	1:0.015258	2:0.015258	
