0.307467
0.307467
0(405799)::	2:0.092005	1:0.092005	0:0.092005	
1(147145)::	0:0.336992	1:0.336992	2:0.336992	
2(359178)::	0:3.930519	1:3.930519	2:3.930519	
3(67672)::	2:0.597688	1:0.597688	0:0.597688	
4(275335)::	0:0.236766	1:0.236766	2:0.236766	
5(158454)::	0:0.185260	1:0.185260	2:0.185260	
6(125406)::	2:0.119282	1:0.119282	0:0.119282	
7(132318)::	0:1.495087	1:1.495087	2:1.495087	
8(422962)::	0:2.301120	1:2.301120	2:2.301120	
9(80272)::	0:0.644144	1:0.644144	2:0.644144	
10(110323)::	0:1.061272	1:1.061272	2:1.061272	
11(362293)::	2:0.047573	1:0.047573	0:0.047573	
12(383431)::	0:0.068607	1:0.068607	2:0.068607	
13(159005)::	2:0.426271	1:0.426271	0:0.426271	
14(371021)::	0:0.165723	1:0.165723	2:0.165723	
15(418732)::	2:0.125191	1:0.125191	0:0.125191	
16(507999)::	0:0.027327	1:0.027327	2:0.027327	
17(18471)::	2:0.119227	1:0.119227	0:0.119227	
18(363607)::	2:0.096609	1:0.096609	0:0.096609	
19(297774)::	0:2.034525	1:2.034525	2:2.034525	
20(121312)::	2:0.125488	1:0.125488	0:0.125488	
21(233409)::	2:0.125495	1:0.125495	0:0.125495	
22(369656)::	2:0.090822	1:0.090822	0:0.090822	
23(369653)::	2:0.096600	1:0.096600	0:0.096600	
24(364596)::	2:0.082976	1:0.082976	0:0.082976	
25(289737)::	2:0.056990	1:0.056990	0:0.056990	
26(246158)::	0:0.090806	1:0.090806	2:0.090806	
27(546837)::	2:0.096569	1:0.096569	0:0.096569	
28(465830)::	2:0.090816	1:0.090816	0:0.090816	
29(96142)::	2:0.090792	1:0.090792	0:0.090792	
30(224454)::	2:0.090816	1:0.090816	0:0.090816	
31(271642)::	0:0.125520	1:0.125520	2:0.125520	
32(40254)::	2:0.085466	1:0.085466	0:0.085466	
33(460491)::	2:0.089623	1:0.089623	0:0.089623	
34(205588)::	2:0.085488	1:0.085488	0:0.085488	
35(462518)::	2:0.125487	1:0.125487	0:0.125487	
36(68880)::	2:0.096572	1:0.096572	0:0.096572	
37(339366)::	0:0.056995	1:0.056995	2:0.056995	
38(378535)::	2:0.096601	1:0.096601	0:0.096601	
39(427154)::	2:0.056987	1:0.056987	0:0.056987	
40(239268)::	2:0.188511	1:0.188511	0:0.188511	
41(100833)::	2:0.119290	1:0.119290	0:0.119290	
42(265279)::	2:0.056991	1:0.056991	0:0.056991	
43(149965)::	0:0.119238	1:0.119238	2:0.119238	
44(399588)::	2:0.085463	1:0.085463	0:0.085463	
45(473137)::	2:0.096538	1:0.096538	0:0.096538	
46(357876)::	0:0.116906	1:0.116906	2:0.116906	
47(283768)::	2:0.094417	1:0.094417	0:0.094417	
48(94065)::	2:0.094453	1:0.094453	0:0.094453	
49(118660)::	2:0.094453	1:0.094453	0:0.094453	
50(340566)::	2:0.122441	1:0.122441	0:0.122441	
51(311666)::	2:0.085468	1:0.085468	0:0.085468	
52(110311)::	2:0.122465	1:0.122465	0:0.122465	
53(485445)::	2:0.323949	1:0.323949	0:0.323949	
54(194464)::	2:0.083011	1:0.083011	0:0.083011	
55(304953)::	2:0.094408	1:0.094408	0:0.094408	
56(198299)::	2:0.056988	1:0.056988	0:0.056988	
57(257803)::	0:0.116910	1:0.116910	2:0.116910	
58(473883)::	0:0.090824	1:0.090824	2:0.090824	
59(479286)::	0:0.081537	1:0.081537	2:0.081537	
60(526677)::	2:0.066137	1:0.066137	0:0.066137	
61(476307)::	2:0.068655	1:0.068655	0:0.068655	
62(303877)::	0:0.085255	1:0.085255	2:0.085255	
63(201370)::	0:0.085266	1:0.085266	2:0.085266	
64(386144)::	0:0.047578	1:0.047578	2:0.047578	
65(539010)::	2:0.043782	1:0.043782	0:0.043782	
66(118002)::	2:0.047578	1:0.047578	0:0.047578	
67(40507)::	0:0.047566	1:0.047566	2:0.047566	
68(337328)::	2:0.018433	1:0.018433	0:0.018433	
69(394938)::	0:0.073171	1:0.073171	2:0.073171	
70(25988)::	1:0.073223	2:0.073223	0:0.073223	
71(277193)::	0:0.007635	1:0.007635	2:0.007635	
72(504760)::	0:0.027322	1:0.027322	2:0.027322	
73(521948)::	0:0.027326	1:0.027326	2:0.027326	
74(508430)::	2:0.103486	1:0.103486	0:0.103486	
75(96164)::	2:0.103499	1:0.103499	0:0.103499	
76(86377)::	
77(474071)::	
78(452706)::	0:0.026186	1:0.026186	2:0.026186	
