0.271150
0.271150
0(452941)::	0:0.061143	1:0.061143	2:0.061143	
1(311929)::	0:0.401663	1:0.401663	2:0.401663	
2(31980)::	2:0.868414	1:0.868414	0:0.868414	
3(319406)::	0:0.295671	1:0.295671	2:0.295671	
4(72700)::	0:0.110977	1:0.110977	2:0.110977	
5(468085)::	2:0.206635	1:0.206635	0:0.206635	
6(539662)::	0:0.158224	1:0.158224	2:0.158224	
7(145300)::	0:0.150832	1:0.150832	2:0.150832	
8(168056)::	0:0.090398	1:0.090398	2:0.090398	
9(217502)::	2:0.172181	1:0.172181	0:0.172181	
10(48099)::	0:0.109863	1:0.109863	2:0.109863	
11(412282)::	0:0.183308	1:0.183308	2:0.183308	
12(21516)::	0:0.140964	1:0.140964	2:0.140964	
13(121441)::	0:0.101064	1:0.101064	2:0.101064	
14(304553)::	2:0.071049	1:0.071049	0:0.071049	
15(494252)::	0:0.232452	1:0.232452	2:0.232452	
16(493324)::	2:0.211294	1:0.211294	0:0.211294	
17(528829)::	2:0.113020	1:0.113020	0:0.113020	
18(205402)::	2:0.328322	1:0.328322	0:0.328322	
19(398443)::	2:0.206627	1:0.206627	0:0.206627	
20(437499)::	0:0.090951	1:0.090951	2:0.090951	
21(395622)::	2:0.112798	1:0.112798	0:0.112798	
22(138211)::	2:0.380851	1:0.380851	0:0.380851	
23(410747)::	2:0.429756	1:0.429756	0:0.429756	
24(213200)::	0:0.706824	1:0.706824	2:0.706824	
25(368669)::	0:0.416453	1:0.416453	2:0.416453	
26(152770)::	2:0.111390	1:0.111390	0:0.111390	
27(227121)::	2:0.200620	1:0.200620	0:0.200620	
28(136574)::	2:0.246364	1:0.246364	0:0.246364	
29(229039)::	2:0.110606	1:0.110606	0:0.110606	
30(11152)::	2:0.177684	1:0.177684	0:0.177684	
31(442541)::	2:0.110596	1:0.110596	0:0.110596	
32(524027)::	2:0.628997	1:0.628997	0:0.628997	
33(500747)::	2:0.178793	1:0.178793	0:0.178793	
34(529227)::	2:0.110603	1:0.110603	0:0.110603	
35(490490)::	2:0.106720	1:0.106720	0:0.106720	
36(302509)::	0:0.110565	1:0.110565	2:0.110565	
37(180569)::	0:0.490144	1:0.490144	2:0.490144	
38(331200)::	2:0.478161	1:0.478161	0:0.478161	
39(463477)::	2:0.106725	1:0.106725	0:0.106725	
40(527121)::	2:0.112272	1:0.112272	0:0.112272	
41(251964)::	2:0.111417	1:0.111417	0:0.111417	
42(196827)::	2:0.379870	1:0.379870	0:0.379870	
43(467195)::	0:0.113985	1:0.113985	2:0.113985	
44(124220)::	2:0.208100	1:0.208100	0:0.208100	
45(526560)::	2:0.143031	1:0.143031	0:0.143031	
46(81303)::	0:0.139494	1:0.139494	2:0.139494	
47(186400)::	2:0.092773	1:0.092773	0:0.092773	
48(442010)::	0:0.110520	1:0.110520	2:0.110520	
49(520608)::	2:0.317921	1:0.317921	0:0.317921	
50(130542)::	0:0.414958	1:0.414958	2:0.414958	
51(407436)::	0:0.112496	1:0.112496	2:0.112496	
52(403329)::	2:0.104744	1:0.104744	0:0.104744	
53(471456)::	2:0.479444	1:0.479444	0:0.479444	
54(167159)::	0:0.095833	1:0.095833	2:0.095833	
55(12177)::	0:0.114740	1:0.114740	2:0.114740	
56(327497)::	2:0.103068	1:0.103068	0:0.103068	
57(14425)::	2:0.109863	1:0.109863	0:0.109863	
58(122338)::	2:0.113164	1:0.113164	0:0.113164	
59(498708)::	0:0.113933	1:0.113933	2:0.113933	
60(356893)::	0:0.077572	1:0.077572	2:0.077572	
61(374161)::	2:0.103075	1:0.103075	0:0.103075	
62(305601)::	0:0.113921	1:0.113921	2:0.113921	
63(488943)::	2:0.114736	1:0.114736	0:0.114736	
64(182085)::	2:0.113194	1:0.113194	0:0.113194	
65(1500)::	2:0.114741	1:0.114741	0:0.114741	
66(121344)::	0:0.114354	1:0.114354	2:0.114354	
67(186249)::	0:0.015103	1:0.015103	2:0.015103	
68(226851)::	0:0.015104	1:0.015104	2:0.015104	
69(254640)::	2:0.048059	1:0.048059	0:0.048059	
70(309993)::	0:0.061825	1:0.061825	2:0.061825	
71(515331)::	0:0.074364	1:0.074364	2:0.074364	
72(458185)::	0:0.114335	1:0.114335	2:0.114335	
73(125000)::	0:0.089953	1:0.089953	2:0.089953	
74(303834)::	2:0.074126	1:0.074126	0:0.074126	
75(443987)::	2:0.015095	1:0.015095	0:0.015095	
76(442248)::	0:0.015101	1:0.015101	2:0.015101	
77(76261)::	0:0.035226	1:0.035226	2:0.035226	
78(490861)::	0:0.114767	1:0.114767	2:0.114767	
79(121768)::	2:0.112798	1:0.112798	0:0.112798	
80(193834)::	2:0.112778	1:0.112778	0:0.112778	
81(193153)::	0:0.069497	1:0.069497	2:0.069497	
82(100464)::	2:0.067574	1:0.067574	0:0.067574	
83(238729)::	0:0.099925	1:0.099925	2:0.099925	
84(200566)::	0:0.056510	1:0.056510	2:0.056510	
85(424386)::	2:0.076118	1:0.076118	0:0.076118	
86(282212)::	
87(432157)::	
88(144800)::	
89(13499)::	
90(213937)::	2:0.010651	1:0.010651	0:0.010651	
91(19625)::	2:0.110187	1:0.110187	0:0.110187	
92(50856)::	
93(207132)::	
94(54519)::	
95(409123)::	0:0.094631	1:0.094631	2:0.094631	
96(90431)::	0:0.135109	1:0.135109	2:0.135109	
97(24328)::	0:0.015227	1:0.015227	2:0.015227	
98(476572)::	
99(541245)::	
100(391979)::	
