0.656167
0.656167
0(491661)::	0:2.288177	1:2.288177	2:2.288177	
1(187272)::	0:0.030211	1:0.030211	2:0.030211	
2(510433)::	0:2.441786	1:2.441786	2:2.441786	
3(155539)::	2:0.081734	1:0.081734	0:0.081734	
4(267320)::	0:0.386912	1:0.386912	2:0.386912	
5(383290)::	0:0.458463	1:0.458463	2:0.458463	
6(342293)::	0:0.431580	1:0.431580	2:0.431580	
7(477039)::	0:0.682529	1:0.682529	2:0.682529	
8(542743)::	0:0.419451	1:0.419451	2:0.419451	
9(51493)::	0:1.515974	1:1.515974	2:1.515974	
10(462683)::	0:0.267806	1:0.267806	2:0.267806	
11(468253)::	
